Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
CHH10085	pass	0.0	pass	100.0	Sanger / Illumina 1.9	fail	pass	pass	100.0	Conventional base calls	pass	fail	65932605.0	pass	pass	pass	43.0	74.340235207	CHH10085_CCGTCC_L002_R1_001.fastq.gz	pass	pass
CHH10086	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	warn	76205555.0	pass	pass	pass	43.0	72.3871395955	CHH10086_GTCCGC_L002_R1_001.fastq.gz	pass	pass
CHH10087	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	65053543.0	pass	warn	pass	43.0	74.39427563	CHH10087_GTGAAA_L002_R2_001.fastq.gz	warn	pass
CHH10856	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	57847363.0	pass	pass	pass	43.0	77.7049677736	CHH10856_CGTGT_L002_R2_001.fastq.gz	warn	pass
CHH10857	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	55555711.0	pass	pass	pass	43.0	76.9352715279	CHH10857_TGCCA_L001_R1_001.fastq.gz	pass	pass
CHH10858	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	61218431.0	pass	warn	pass	43.0	76.6794580066	CHH10858_ACGTG_L002_R2_001.fastq.gz	warn	pass
CHH11484	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	60556408.0	pass	pass	pass	43.0	75.1618505519	CHH11484_CGTGT_L001_R1_001.fastq.gz	pass	pass
CHH11485	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	28589037.0	pass	warn	pass	43.0	82.7595910122	CHH11485_TGCCA_L002_R2_001.fastq.gz	pass	pass
CHH11486	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	56039438.0	pass	pass	pass	43.0	76.4093665023	CHH11486_ACGTG_L001_R1_001.fastq.gz	pass	pass
CHH11655	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	64088186.0	pass	pass	pass	44.0	78.346704579	CHH11655_CGATGT_L007_R1_001.fastq.gz	pass	pass
CHH11656	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	64237046.0	pass	warn	pass	43.0	75.3665306602	CHH11656_TGACCA_L007_R2_001.fastq.gz	pass	pass
CHH11657	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	57543006.0	pass	pass	pass	45.0	79.2539363273	CHH11657_GCCAAT_L007_R1_001.fastq.gz	pass	pass
CHH11658	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	59845070.0	pass	warn	pass	43.0	74.8368685139	CHH11658_ACAGTG_L002_R2_001.fastq.gz	pass	pass
CHH11659	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	55437618.0	pass	pass	pass	43.0	76.0980223847	CHH11659_CAGATC_L002_R2_001.fastq.gz	pass	pass
CHH11660	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	54320374.0	pass	warn	pass	43.0	76.8830979683	CHH11660_GTCCGC_L002_R2_001.fastq.gz	pass	pass
CHH11661	pass	0.0	pass	100.0	Sanger / Illumina 1.9	fail	pass	pass	100.0	Conventional base calls	pass	warn	79658005.0	pass	pass	pass	45.0	78.4934578245	CHH11661_CTTGTA_L008_R1_001.fastq.gz	pass	pass
CHH11662	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	warn	66479345.0	pass	pass	pass	44.0	77.1499053803	CHH11662_AGTTCC_L008_R2_001.fastq.gz	warn	pass
CHH11663	pass	0.0	pass	100.0	Sanger / Illumina 1.9	fail	pass	pass	100.0	Conventional base calls	pass	fail	63666170.0	pass	pass	pass	45.0	80.218864039	CHH11663_GTGAAA_L008_R1_001.fastq.gz	pass	pass
CHH11664	pass	0.0	pass	100.0	Sanger / Illumina 1.9	pass	pass	pass	100.0	Conventional base calls	pass	fail	66371940.0	pass	pass	pass	45.0	76.2517176096	CHH11664_AGTCAA_L006_R2_001.fastq.gz	fail	pass
