Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
CHH10085	25.659764793	43.0	100.0	65932605.0	16.6666666667
CHH10086	27.6128604045	43.0	100.0	76205555.0	0.0
CHH10087	25.60572437	43.0	100.0	65053543.0	8.33333333333
CHH10856	22.2950322264	43.0	100.0	57847363.0	8.33333333333
CHH10857	23.0647284721	43.0	100.0	55555711.0	8.33333333333
CHH10858	23.3205419934	43.0	100.0	61218431.0	8.33333333333
CHH11484	24.8381494481	43.0	100.0	60556408.0	8.33333333333
CHH11485	17.2404089878	43.0	100.0	28589037.0	8.33333333333
CHH11486	23.5906334977	43.0	100.0	56039438.0	8.33333333333
CHH11655	21.653295421	44.0	100.0	64088186.0	8.33333333333
CHH11656	24.6334693398	43.0	100.0	64237046.0	8.33333333333
CHH11657	20.7460636727	45.0	100.0	57543006.0	8.33333333333
CHH11658	25.1631314861	43.0	100.0	59845070.0	8.33333333333
CHH11659	23.9019776153	43.0	100.0	55437618.0	8.33333333333
CHH11660	23.1169020317	43.0	100.0	54320374.0	8.33333333333
CHH11661	21.5065421755	45.0	100.0	79658005.0	8.33333333333
CHH11662	22.8500946197	44.0	100.0	66479345.0	0.0
CHH11663	19.781135961	45.0	100.0	63666170.0	16.6666666667
CHH11664	23.7482823904	45.0	100.0	66371940.0	16.6666666667
CHH11665	22.1864069618	45.0	100.0	63393437.0	8.33333333333
CHH11666	21.2164882949	45.0	100.0	63616207.0	16.6666666667
CHH11667	22.1375524564	45.0	100.0	59692699.0	0.0
CHH11668	22.9715376198	45.0	100.0	62391428.0	0.0
CHH11669	22.0030554763	45.0	100.0	61034403.0	0.0
CHH11670	21.0762180012	45.0	100.0	62394716.0	8.33333333333
CHH11671	20.2334663943	44.0	100.0	59771328.0	16.6666666667
CHH11673	21.1243590987	45.0	100.0	56191710.0	0.0
CHH11674	23.2798654927	45.0	100.0	68348990.0	0.0
CHH11675	22.5996427906	45.0	100.0	69372125.0	8.33333333333
CHH11682	22.6504329001	44.0	100.0	65592792.0	16.6666666667
CHH11683	23.1735813279	44.0	100.0	81377585.0	16.6666666667
CHH11684	21.9515143681	44.0	100.0	65712307.0	16.6666666667
CHH11685	26.5228352697	44.0	100.0	82091414.0	16.6666666667
CHH11686	24.8909858538	45.0	100.0	76343578.0	0.0
CHH11687	24.0855085311	45.0	100.0	66864222.0	8.33333333333
CHH11688	20.9850714323	45.0	100.0	55130916.0	8.33333333333
CHH11689	21.0811139439	45.0	100.0	53149767.0	0.0
CHH11690	21.3303432939	45.0	100.0	62316532.0	16.6666666667
CHH11691	20.5786763421	45.0	100.0	75322555.0	8.33333333333
CHH11692	22.6503957804	45.0	100.0	68072740.0	0.0
CHH11693	18.5947408476	45.0	100.0	54858977.0	16.6666666667
CHH11694	19.0933574478	45.0	100.0	54281925.0	16.6666666667
CHH11695	19.7516313253	45.0	100.0	64004069.0	8.33333333333
CHH11696	19.6763400814	45.0	100.0	56217370.0	8.33333333333
CHH13722	26.4381305277	45.0	100.0	82021353.0	8.33333333333
CHH13732	22.0668236243	46.0	100.0	58682370.0	8.33333333333
CHH13733	21.6280296264	45.0	100.0	63736029.0	8.33333333333
