Module	Section	Sample Name	Source
FastQC	all_sections	CHH13755	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_15_21_30_218/CHH13755/HS002-PE-R00179_AC72AAACXX.CHH13755_GTCCGC_L001_R2_fastqc.zip
FastQC	all_sections	CHH13754	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_118/CHH13754/HS002-PE-R00179_AC72AAACXX.CHH13754_CAGATC_L001_R2_fastqc.zip
FastQC	all_sections	CHH13757	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_360/CHH13757/HS002-PE-R00179_AC72AAACXX.CHH13757_AGTTCC_L002_R1_fastqc.zip
FastQC	all_sections	CHH13756	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_360/CHH13756/HS002-PE-R00179_AC72AAACXX.CHH13756_CTTGTA_L002_R1_fastqc.zip
FastQC	all_sections	CHH13751	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_118/CHH13751/HS003-PE-R00204_BC724MACXX.CHH13751_TGACCA_L008_R1_fastqc.zip
FastQC	all_sections	CHH13750	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_118/CHH13750/HS003-PE-R00204_BC724MACXX.CHH13750_CGATGT_L008_R2_fastqc.zip
FastQC	all_sections	CHH13753	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_118/CHH13753/HS002-PE-R00179_AC72AAACXX.CHH13753_ACAGTG_L001_R2_fastqc.zip
FastQC	all_sections	CHH13752	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_118/CHH13752/HS003-PE-R00204_BC724MACXX.CHH13752_GCCAAT_L008_R2_fastqc.zip
FastQC	all_sections	CHH13759	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_360/CHH13759/HS002-PE-R00179_AC72AAACXX.CHH13759_AGTCAA_L003_R1_fastqc.zip
FastQC	all_sections	CHH13758	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_360/CHH13758/HS002-PE-R00179_AC72AAACXX.CHH13758_GTGAAA_L002_R2_fastqc.zip
FastQC	all_sections	CHH11486	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_108/CHH11486/HS001-PE-R00213_BHFH23ADXX.CHH11486_ACGTG_L001_R1_fastqc.zip
FastQC	all_sections	CHH11485	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_108/CHH11485/HS001-PE-R00213_BHFH23ADXX.CHH11485_TGCCA_L002_R2_fastqc.zip
FastQC	all_sections	CHH11484	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_108/CHH11484/HS001-PE-R00213_BHFH23ADXX.CHH11484_CGTGT_L001_R1_fastqc.zip
FastQC	all_sections	CHH13722	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_608/CHH13722/HS003-PE-R00203_AC7272ACXX.CHH13722_GTGAAA_L006_R2_fastqc.zip
FastQC	all_sections	CHH13849	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_710/CHH13849/HS001-PE-R00262_AHMYNYADXX.CHH13849_CCGTCC_L002_R1_fastqc.zip
FastQC	all_sections	CHH13848	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_10_49_138/CHH13848/HS001-PE-R00262_AHMYNYADXX.CHH13848_ATGTCA_L002_R1_fastqc.zip
FastQC	all_sections	CHH13845	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_10_48_761/CHH13845/HS001-PE-R00262_AHMYNYADXX.CHH13845_AGTTCC_L001_R1_fastqc.zip
FastQC	all_sections	CHH13844	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_710/CHH13844/HS001-PE-R00262_AHMYNYADXX.CHH13844_CTTGTA_L001_R2_fastqc.zip
FastQC	all_sections	CHH13847	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_710/CHH13847/HS001-PE-R00263_BHN2HFADXX.CHH13847_AGTCAA_L002_R1_fastqc.zip
FastQC	all_sections	CHH13846	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_710/CHH13846/HS001-PE-R00262_AHMYNYADXX.CHH13846_GTGAAA_L002_R2_fastqc.zip
FastQC	all_sections	CHH13841	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_610/CHH13841/HS003-PE-R00205_AC745FACXX.CHH13841_AGTCAA_L005_R1_fastqc.zip
FastQC	all_sections	CHH13840	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_610/CHH13840/HS003-PE-R00205_AC745FACXX.CHH13840_GTGAAA_L005_R2_fastqc.zip
FastQC	all_sections	CHH13843	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_10_48_761/CHH13843/HS003-PE-R00205_AC745FACXX.CHH13843_CCGTCC_L006_R1_fastqc.zip
FastQC	all_sections	CHH13842	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_610/CHH13842/HS003-PE-R00205_AC745FACXX.CHH13842_ATGTCA_L005_R1_fastqc.zip
FastQC	all_sections	CHH13733	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_47_868/CHH13733/HS003-PE-R00204_BC724MACXX.CHH13733_AGTTCC_L002_R1_fastqc.zip
FastQC	all_sections	CHH13732	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_608/CHH13732/HS003-PE-R00204_BC724MACXX.CHH13732_CTTGTA_L002_R1_fastqc.zip
FastQC	all_sections	CHH13737	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_315/CHH13737/HS003-PE-R00204_BC724MACXX.CHH13737_CCGTCC_L003_R2_fastqc.zip
FastQC	all_sections	CHH13736	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_47_868/CHH13736/HS003-PE-R00204_BC724MACXX.CHH13736_ATGTCA_L003_R2_fastqc.zip
FastQC	all_sections	CHH13735	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_608/CHH13735/HS003-PE-R00204_BC724MACXX.CHH13735_AGTCAA_L003_R2_fastqc.zip
FastQC	all_sections	CHH13734	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_608/CHH13734/HS003-PE-R00204_BC724MACXX.CHH13734_GTGAAA_L002_R1_fastqc.zip
FastQC	all_sections	CHH10857	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_797/CHH10857/HS001-PE-R00180_AHB1C2ADXX.CHH10857_TGCCA_L001_R1_fastqc.zip
FastQC	all_sections	CHH10856	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_797/CHH10856/HS001-PE-R00180_AHB1C2ADXX.CHH10856_CGTGT_L002_R2_fastqc.zip
FastQC	all_sections	CHH13739	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_47_868/CHH13739/HS003-PE-R00204_BC724MACXX.CHH13739_TGACCA_L004_R2_fastqc.zip
FastQC	all_sections	CHH13738	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_315/CHH13738/HS003-PE-R00204_BC724MACXX.CHH13738_CGATGT_L004_R2_fastqc.zip
FastQC	all_sections	CHH11692	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_43_208/CHH11692/HS003-PE-R00194_BC6LTCACXX.CHH11692_TGACCA_L001_R2_fastqc.zip
FastQC	all_sections	CHH11693	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_43_208/CHH11693/HS003-PE-R00194_BC6LTCACXX.CHH11693_GCCAAT_L001_R1_fastqc.zip
FastQC	all_sections	CHH11690	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_47_726/CHH11690/HS003-PE-R00193_AC6LWTACXX.CHH11690_CCGTCC_L008_R1_fastqc.zip
FastQC	all_sections	CHH11691	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_43_208/CHH11691/HS003-PE-R00194_BC6LTCACXX.CHH11691_CGATGT_L001_R1_fastqc.zip
FastQC	all_sections	CHH11696	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_608/CHH11696/HS003-PE-R00194_BC6LTCACXX.CHH11696_GTCCGC_L002_R1_fastqc.zip
FastQC	all_sections	CHH11694	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_43_208/CHH11694/HS003-PE-R00194_BC6LTCACXX.CHH11694_ACAGTG_L002_R1_fastqc.zip
FastQC	all_sections	CHH11695	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_43_208/CHH11695/HS003-PE-R00194_BC6LTCACXX.CHH11695_CAGATC_L002_R1_fastqc.zip
FastQC	all_sections	CHH13838	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_610/CHH13838/HS003-PE-R00205_AC745FACXX.CHH13838_CTTGTA_L006_R2_fastqc.zip
FastQC	all_sections	CHH13839	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_610/CHH13839/HS003-PE-R00205_AC745FACXX.CHH13839_AGTTCC_L005_R2_fastqc.zip
FastQC	all_sections	CHH13832	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_300/CHH13832/HS003-PE-R00205_AC745FACXX.CHH13832_CGATGT_L003_R2_fastqc.zip
FastQC	all_sections	CHH13833	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_300/CHH13833/HS003-PE-R00205_AC745FACXX.CHH13833_TGACCA_L004_R1_fastqc.zip
FastQC	all_sections	CHH13834	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_300/CHH13834/HS003-PE-R00205_AC745FACXX.CHH13834_GCCAAT_L003_R2_fastqc.zip
FastQC	all_sections	CHH13835	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_10_48_761/CHH13835/HS003-PE-R00205_AC745FACXX.CHH13835_ACAGTG_L004_R2_fastqc.zip
FastQC	all_sections	CHH13836	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_300/CHH13836/HS003-PE-R00205_AC745FACXX.CHH13836_CAGATC_L003_R1_fastqc.zip
FastQC	all_sections	CHH13837	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_300/CHH13837/HS003-PE-R00205_AC745FACXX.CHH13837_GTCCGC_L003_R2_fastqc.zip
FastQC	all_sections	CHH11689	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_47_726/CHH11689/HS003-PE-R00193_AC6LWTACXX.CHH11689_ATGTCA_L008_R2_fastqc.zip
FastQC	all_sections	CHH11688	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_707/CHH11688/HS003-PE-R00193_AC6LWTACXX.CHH11688_AGTCAA_L008_R2_fastqc.zip
FastQC	all_sections	CHH11685	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_707/CHH11685/HS002-PE-R00174_BC6N3UACXX.CHH11685_CTTGTA_L005_R1_fastqc.zip
FastQC	all_sections	CHH11684	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_707/CHH11684/HS003-PE-R00193_AC6LWTACXX.CHH11684_GTCCGC_L007_R2_fastqc.zip
FastQC	all_sections	CHH11687	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_707/CHH11687/HS002-PE-R00174_BC6N3UACXX.CHH11687_GTGAAA_L005_R2_fastqc.zip
FastQC	all_sections	CHH11686	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_707/CHH11686/HS002-PE-R00174_BC6N3UACXX.CHH11686_AGTTCC_L005_R2_fastqc.zip
FastQC	all_sections	CHH11683	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_601/CHH11683/HS003-PE-R00193_AC6LWTACXX.CHH11683_CAGATC_L007_R1_fastqc.zip
FastQC	all_sections	CHH11682	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_601/CHH11682/HS003-PE-R00193_AC6LWTACXX.CHH11682_ACAGTG_L007_R2_fastqc.zip
FastQC	all_sections	CHH11670	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_601/CHH11670/HS003-PE-R00193_AC6LWTACXX.CHH11670_ACAGTG_L003_R2_fastqc.zip
FastQC	all_sections	CHH11671	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_601/CHH11671/HS003-PE-R00193_AC6LWTACXX.CHH11671_CAGATC_L004_R1_fastqc.zip
FastQC	all_sections	CHH11673	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_47_726/CHH11673/HS003-PE-R00193_AC6LWTACXX.CHH11673_CTTGTA_L006_R2_fastqc.zip
FastQC	all_sections	CHH11674	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_15_21_30_218/CHH11674/HS003-PE-R00193_AC6LWTACXX.CHH11674_AGTTCC_L006_R2_fastqc.zip
FastQC	all_sections	CHH11675	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_601/CHH11675/HS003-PE-R00193_AC6LWTACXX.CHH11675_GTGAAA_L006_R1_fastqc.zip
FastQC	all_sections	CHH10086	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_797/CHH10086/HS003-PE-R00176_BC5YRLACXX.CHH10086_GTCCGC_L002_R1_fastqc.zip
FastQC	all_sections	CHH10087	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_15_21_30_218/CHH10087/HS003-PE-R00176_BC5YRLACXX.CHH10087_GTGAAA_L002_R2_fastqc.zip
FastQC	all_sections	CHH13768	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_10_48_761/CHH13768/HS002-PE-R00179_AC72AAACXX.CHH13768_CTTGTA_L005_R1_fastqc.zip
FastQC	all_sections	CHH13764	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_903/CHH13764/HS002-PE-R00179_AC72AAACXX.CHH13764_GCCAAT_L004_R1_fastqc.zip
FastQC	all_sections	CHH13765	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_903/CHH13765/HS002-PE-R00179_AC72AAACXX.CHH13765_ACAGTG_L005_R1_fastqc.zip
FastQC	all_sections	CHH13766	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_903/CHH13766/HS002-PE-R00179_AC72AAACXX.CHH13766_CAGATC_L005_R1_fastqc.zip
FastQC	all_sections	CHH13767	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_15_21_30_218/CHH13767/HS002-PE-R00179_AC72AAACXX.CHH13767_GTCCGC_L005_R2_fastqc.zip
FastQC	all_sections	CHH13760	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_06_44_360/CHH13760/HS002-PE-R00179_AC72AAACXX.CHH13760_ATGTCA_L003_R1_fastqc.zip
FastQC	all_sections	CHH13761	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_903/CHH13761/HS002-PE-R00179_AC72AAACXX.CHH13761_CCGTCC_L003_R1_fastqc.zip
FastQC	all_sections	CHH13762	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_10_48_761/CHH13762/HS002-PE-R00179_AC72AAACXX.CHH13762_CGATGT_L004_R2_fastqc.zip
FastQC	all_sections	CHH13763	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_903/CHH13763/HS002-PE-R00179_AC72AAACXX.CHH13763_TGACCA_L004_R2_fastqc.zip
FastQC	all_sections	CHH11663	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_522/CHH11663/HS003-PE-R00194_BC6LTCACXX.CHH11663_GTGAAA_L008_R1_fastqc.zip
FastQC	all_sections	CHH11662	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_04_40_522/CHH11662/HS003-PE-R00194_BC6LTCACXX.CHH11662_AGTTCC_L008_R2_fastqc.zip
FastQC	all_sections	CHH11661	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_47_726/CHH11661/HS003-PE-R00194_BC6LTCACXX.CHH11661_CTTGTA_L008_R1_fastqc.zip
FastQC	all_sections	CHH11660	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/FASTQC_Files/2017_06_27_12_08_46_710/CHH11660/HS003-PE-R00193_AC6LWTACXX.CHH11660_GTCCGC_L002_R2_fastqc.zip
