Sample,Run,Date
CHH10085,Run-1,02/01/2017
CHH10086,Run-1,02/01/2017
CHH10087,Run-1,02/01/2017
CHH10856,Run-1,02/01/2017
CHH10857,Run-2,09/01/2017
CHH10858,Run-2,09/01/2017
CHH11484,Run-2,09/01/2017
CHH11485,Run-2,09/01/2017
CHH11486,Run-3,16/01/2017
CHH11655,Run-3,16/01/2017
CHH11656,Run-3,16/01/2017
CHH11657,Run-3,16/01/2017
CHH11658,Run-4,23/01/2017
CHH11659,Run-4,23/01/2017
CHH11660,Run-4,23/01/2017
CHH11661,Run-4,23/01/2017
CHH11662,Run-5,30/01/2017
CHH11663,Run-5,30/01/2017
CHH11664,Run-5,30/01/2017
CHH11665,Run-5,30/01/2017
CHH11666,Run-6,06/02/2017
CHH11667,Run-6,06/02/2017
CHH11668,Run-6,06/02/2017
CHH11669,Run-6,06/02/2017
CHH11670,Run-7,13/02/2017
CHH11671,Run-7,13/02/2017
CHH11673,Run-7,13/02/2017
CHH11674,Run-7,13/02/2017
CHH11675,Run-8,20/02/2017
CHH11682,Run-8,20/02/2017
CHH11683,Run-8,20/02/2017
CHH11684,Run-8,20/02/2017
CHH11685,Run-9,27/02/2017
CHH11686,Run-9,27/02/2017
CHH11687,Run-9,27/02/2017
CHH11688,Run-9,27/02/2017
CHH11689,Run-10,06/03/2017
CHH11690,Run-10,06/03/2017
CHH11691,Run-10,06/03/2017
CHH11692,Run-10,06/03/2017
CHH11693,Run-11,13/03/2017
CHH11694,Run-11,13/03/2017
CHH11695,Run-11,13/03/2017
CHH11696,Run-11,13/03/2017
CHH13722,Run-12,20/03/2017
CHH13732,Run-12,20/03/2017
CHH13733,Run-12,20/03/2017
CHH13734,Run-12,20/03/2017
CHH13735,Run-13,27/03/2017
CHH13736,Run-13,27/03/2017
CHH13737,Run-13,27/03/2017
CHH13738,Run-13,27/03/2017
CHH13739,Run-14,03/04/2017
CHH13740,Run-14,03/04/2017
CHH13741,Run-14,03/04/2017
CHH13742,Run-14,03/04/2017
CHH13743,Run-15,10/04/2017
CHH13744,Run-15,10/04/2017
CHH13745,Run-15,10/04/2017
CHH13746,Run-15,10/04/2017
CHH13747,Run-16,17/04/2017
CHH13748,Run-16,17/04/2017
CHH13749,Run-16,17/04/2017
CHH13750,Run-16,17/04/2017
CHH13751,Run-17,24/04/2017
CHH13752,Run-17,24/04/2017
CHH13753,Run-17,24/04/2017
CHH13754,Run-17,24/04/2017
CHH13755,Run-18,01/05/2017
CHH13756,Run-18,01/05/2017
CHH13757,Run-18,01/05/2017
CHH13758,Run-18,01/05/2017
CHH13759,Run-19,08/05/2017
CHH13760,Run-19,08/05/2017
CHH13761,Run-19,08/05/2017
CHH13762,Run-19,08/05/2017
CHH13763,Run-20,15/05/2017
CHH13764,Run-20,15/05/2017
CHH13765,Run-20,15/05/2017
CHH13766,Run-20,15/05/2017
CHH13767,Run-21,22/05/2017
CHH13768,Run-21,22/05/2017
CHH13832,Run-21,22/05/2017
CHH13833,Run-21,22/05/2017
CHH13834,Run-22,29/05/2017
CHH13835,Run-22,29/05/2017
CHH13836,Run-22,29/05/2017
CHH13837,Run-22,29/05/2017
CHH13838,Run-23,05/06/2017
CHH13839,Run-23,05/06/2017
CHH13840,Run-23,05/06/2017
CHH13841,Run-23,05/06/2017
CHH13842,Run-24,12/06/2017
CHH13843,Run-24,12/06/2017
CHH13844,Run-24,12/06/2017
CHH13845,Run-24,12/06/2017
CHH13846,Run-25,19/06/2017
CHH13847,Run-25,19/06/2017
CHH13848,Run-25,19/06/2017
CHH13849,Run-25,19/06/2017
