Sample	Peddy_family_id	Peddy_sex_het_ratio	Peddy_ancestry_prediction	Peddy_error	QualiMap_avg_gc	QualiMap_median_insert_size	Bcftools Stats_tstv	Bamtools_mapped_reads_pct	Bamtools_duplicates_pct	QualiMap_5_x_pc	QualiMap_30_x_pc	QualiMap_10_x_pc	Samtools Flagstat_mapped_passed	Bcftools Stats_number_of_SNPs	Bcftools Stats_number_of_MNPs	QualiMap_median_coverage	QualiMap_1_x_pc	Bcftools Stats_number_of_records	Bcftools Stats_number_of_indels	QualiMap_50_x_pc	FastQC_percent_gc	QualiMap_mapped_reads	QualiMap_total_reads	FastQC_total_sequences	FastQC_percent_duplicates	FastQC_avg_sequence_length	QualiMap_percentage_aligned	FastQC_percent_fails
SampID_10893	fam	0.3185	EAS	False	45.3193310623	215	1.81	99.7272	0.0	96.2779036791	87.9041634444	94.8704223291	126093645	2218.0	846.0	82	98.2376090645	3243.0	140.0	74.9901098929	43.0	126093645.0	126438578.0	126438578.0	54.5030542085	99.9593402102	99.7271932305	16.6666666667
SampID_10894	fam	1.869	EAS	False	45.3968278063	217	1.81	99.8322	0.0	96.0946705083	87.9881656348	94.6984899312	126233019	2218.0	846.0	83	98.1012693564	3243.0	140.0	75.4474634885	43.0	126233019.0	126445237.0	126445237.0	54.3772616523	99.9574021914	99.8321660783	16.6666666667
SampID_10895	fam	0.3093	EAS	False	45.3500411064	214	1.81	99.8419	0.0	96.2338922335	87.4361335866	94.7825362566	122286359	2218.0	846.0	80	98.2111412909	3243.0	140.0	73.8868247797	43.0	122286359.0	122479955.0	122479955.0	55.5607573887	99.9595619218	99.8419365846	25.0
SampID_11676	fam	1.777	SAS	False	48.3101543937	224	1.92	99.8899	0.0	96.9021406259	91.6978379466	96.0069720097	117007944	2119.0	863.0	89	98.2637193445	3182.0	160.0	83.3673367945	45.0	117007944.0	117136961.0	117136961.0	55.9966772823	99.9535897128	99.8898579928	16.6666666667
SampID_11677	fam	1.703	SAS	False	47.8207586529	224	1.92	99.8744	0.0	96.8777118903	91.6223295414	95.958491893	120263164	2119.0	863.0	90	98.2779639234	3182.0	160.0	83.3951197918	45.0	120263164.0	120414358.0	120414358.0	54.7696629858	99.9567631794	99.8744385616	8.33333333333
SampID_11678	fam	0.3383	SAS	False	47.9618907629	226	1.92	99.8613	0.0	97.1905475579	92.352658258	96.3583463798	127473229	2119.0	863.0	95	98.4584121741	3182.0	160.0	85.0264098464	45.0	127473229.0	127650287.0	127650287.0	55.4767951442	99.9546027499	99.8612944756	16.6666666667
SampID_13726	fam	1.832	EAS	False	48.3751761637	237	1.8	99.6683	0.0	96.7342730636	93.0401384869	96.0404109103	144717228	2154.0	865.0	106	98.4253837292	3179.0	121.0	87.9081267695	45.0	144717228.0	145198842.0	145198842.0	55.2362663639	99.951213936	99.668307272	25.0
SampID_13727	fam	1.571	EAS	False	48.4056281744	236	1.8	99.6612	0.0	96.725631426	92.3067600402	95.9451167741	128209012	2154.0	865.0	94	98.3420612181	3179.0	121.0	85.3035689676	45.0	128209012.0	128644834.0	128644834.0	54.3426150368	99.9536004221	99.6612207529	16.6666666667
SampID_13728	fam	0.3305	EAS	False	48.2252315311	236	1.8	99.7215	0.0	96.6155366096	91.4087822297	95.6961157979	117779846	2154.0	865.0	86	98.3427762055	3179.0	121.0	82.1012905412	45.0	117779846.0	118108761.0	118108761.0	53.9314889752	99.9543094352	99.721515155	16.6666666667
SampID_6319	fam	0.4203	EAS	False	51.3192076117	251	1.98	99.5275	0.0	93.6898501693	86.3207885781	92.5680945487	125515286	2113.0	913.0	79	96.0954825928	3214.0	150.0	73.7539805654	49.0	125515286.0	126111227.0	126111227.0	55.4622970363	99.9496565996	99.5274480994	8.33333333333
