Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	X	Y	MT	GL000207.1	GL000226.1	GL000229.1	GL000231.1	GL000210.1	GL000239.1	GL000235.1	GL000201.1	GL000247.1	GL000245.1	GL000197.1	GL000203.1	GL000246.1	GL000249.1	GL000196.1	GL000248.1	GL000244.1	GL000238.1	GL000202.1	GL000234.1	GL000232.1	GL000206.1	GL000240.1	GL000236.1	GL000241.1	GL000243.1	GL000242.1	GL000230.1	GL000237.1	GL000233.1	GL000204.1	GL000198.1	GL000208.1	GL000191.1	GL000227.1	GL000228.1	GL000214.1	GL000221.1	GL000209.1	GL000218.1	GL000220.1	GL000213.1	GL000211.1	GL000199.1	GL000217.1	GL000216.1	GL000215.1	GL000205.1	GL000219.1	GL000224.1	GL000223.1	GL000195.1	GL000212.1	GL000222.1	GL000200.1	GL000193.1	GL000194.1	GL000225.1	GL000192.1	*
CHH10893	12678815	11588227	6978029	5848151	6403365	5954763	6958558	4481696	6099409	5778835	5708766	5682215	2616510	3693488	5586574	5665276	5565346	2086589	4588917	2293244	1468031	2319699	3720066	1359452	23215	34	15868	3929	5789	36	1028	642	1845	1089	330	720	200	693	2569	2959	85	9231	5962	129	2645	1756	120	1990	3160	29597	1019	3698	7859	6031	511	554	1457	2114	9936	6202	8484	124157	81463	25491	12803	81700	27786	109809	21523	15556	9486	3815	11257	29043	20426	14797	8831	102541	20845	1141	8291	19599	10424	45354	0
CHH10894	12454335	11478927	6883054	5766364	6307463	5873305	6874917	4453962	5870942	5704935	5635700	5580748	2600151	3612879	5458686	5421648	5553977	2070785	4491509	2250796	1456138	2287960	7105499	62492	23575	35	12365	3705	5597	56	1151	585	1762	1074	296	720	198	747	2659	2977	93	7144	7199	113	2547	1747	96	2020	3208	30071	872	4060	11652	5975	760	585	1662	2113	9917	6173	8990	122505	82443	24293	14214	111618	27173	106237	16554	13516	10606	3654	10850	28693	20034	14140	8644	89814	19910	897	9312	22037	10237	43967	0
CHH10895	12347093	11325350	6775275	5614857	6164632	5777842	6708719	4355702	5697980	5679297	5533211	5543619	2546555	3683177	5407924	5379573	5372260	2033051	4456550	2231570	1417590	2421288	3522230	1320082	20843	33	14783	3873	5794	47	1015	549	1800	1130	315	741	151	992	2671	2897	66	9706	6837	137	2656	1848	93	1925	3099	30250	1089	3362	7705	5660	429	514	1666	2388	8583	8609	8991	116474	79776	12431	13701	100264	27371	104089	26188	14876	9022	3659	10929	35882	21716	13630	8373	105776	21264	797	6676	19858	10231	44702	0
CHH11676	11640969	9826624	6200167	4727858	5426288	5316811	6469558	4059223	5338744	5212694	5553787	5196444	2181470	3316658	5288348	5414148	5645009	1787919	5034829	2327388	1332480	2509076	6357749	44154	22112	37	13040	3667	2878	53	1463	509	2465	1146	268	657	153	985	1965	2525	79	5447	6936	149	2779	1809	97	1420	1740	18614	1121	4255	9929	5337	575	376	1461	1962	8366	4499	9100	71535	49711	24567	17270	118409	19025	60646	20601	11338	8902	3298	10749	18736	15466	13565	8072	90046	18416	1064	9129	13599	11372	44059	0
CHH11677	11889754	10216759	6407472	4987695	5737272	5486505	6593204	4301769	5599600	5262718	5647575	5328309	2274328	3426444	5283492	5577582	5761365	1872001	5022007	2330138	1352503	2439251	6624596	48339	23947	22	15813	3514	3211	53	1531	521	2414	1107	267	728	151	1229	1916	2552	81	5972	6935	107	2709	1837	101	1333	2018	20460	1072	3661	6623	6312	378	419	1247	2304	7989	5657	9444	84781	58281	13937	18838	99942	19087	71985	28164	10578	8849	3454	9767	16862	11855	13408	7784	76367	19332	933	6496	11693	9756	44702	0
CHH11678	12905871	11058064	6956495	5382812	6020711	5927152	7105209	4368020	5799659	5830278	6156679	5816984	2472826	3844368	5688799	5891693	6233036	2029463	5473902	2556040	1493084	2744949	3655371	1176640	26733	51	16947	4166	3548	44	1566	553	2738	1281	285	795	208	1076	2236	2806	103	9674	7559	176	2841	1934	82	1424	2125	23368	1312	4499	11120	5682	634	510	1747	2384	9078	5764	9699	83885	64302	26152	18123	93612	22462	75212	21478	14908	9871	3771	10957	24842	18028	15438	8942	98534	20886	1065	9656	16115	11938	48199	0
CHH13726	14319535	12223251	7780247	5983509	6943561	6653782	7857883	5006892	6836993	6401339	6846468	6474342	2758416	4126858	6289587	6748965	6959206	2268994	6061634	2902478	1630688	2956904	7709304	58176	36697	64	18598	4276	3580	93	1953	504	3077	1418	433	928	270	1360	2566	2965	110	6619	9788	209	3216	2385	198	594	2065	22382	1497	5958	2786	5880	246	896	2176	3222	11117	5985	11020	87557	58990	33778	22746	101530	22334	79041	33507	12060	10575	3995	11942	22011	19147	16140	9505	81618	22392	1197	9530	15260	12027	54203	0
CHH13727	12658979	10753648	6863096	5271823	6123009	5858802	6982921	4502385	6123085	5702053	6047844	5716895	2431179	3599428	5584153	6017292	6273826	2005126	5372878	2563800	1443086	2605290	6859091	50137	29041	60	15794	3703	2944	106	1885	460	2856	1319	317	881	239	1256	2250	2767	136	5160	8927	178	2659	2040	175	497	2281	18988	1322	4581	4140	5760	337	816	1643	2914	8464	5928	10257	75730	50325	22933	17945	94830	19578	71524	26925	11182	9497	3610	10554	16687	14834	14656	8272	74755	17920	1134	8364	17775	10674	46401	0
CHH13728	11817913	10191669	6443657	4986884	5778599	5517670	6530075	4168045	5437487	5303254	5674237	5358511	2306330	3432757	5100516	5620939	5820697	1887557	4989092	2390138	1336212	2471486	3311675	1106944	26223	46	19137	3618	3093	94	1654	402	2580	1027	408	651	175	939	2148	2513	83	7061	8104	179	2851	2003	157	582	1739	19146	1068	4211	2353	5927	210	851	1822	2835	9437	4312	8349	77019	52681	27822	18680	103353	18343	61422	29708	12046	9143	3167	10178	19049	15078	13831	7679	75033	19533	988	7586	11950	10211	45014	0
CHH6319	12983179	9529067	6435792	4892207	5455539	5386902	7087530	4187149	5827190	5545184	6297995	5363766	2036845	3404177	6183002	6452347	6657872	1745029	6453392	2671199	1387619	3403561	3566537	1419177	39486	211	32607	4848	2783	177	1802	782	3538	1508	478	855	113	1219	1892	1842	180	5853	8884	375	5766	3001	240	1776	3571	14463	1871	5592	6950	8240	858	1664	2356	3000	6644	7670	21654	58308	45678	19352	21696	254732	16226	56996	50848	12088	43356	5245	16878	19955	22812	12553	17267	84350	30336	1565	22880	29264	41005	54890	0
