Module	Section	Sample Name	Source																					
FastQC	all_sections	SampID_6741	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6741/HS003-PE-R00146_BC4HP2ACXX.SampID_6741_ACTTGA_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_11676	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11676/HS003-PE-R00196_BC6MM4ACXX.SampID_11676_AGTCAA_L007.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_11678	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11678/HS003-PE-R00196_BC6MM4ACXX.SampID_11678_CCGTCC_L007.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_10895	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10895/HS002-PE-R00157_AC655TACXX.SampID_10895_CTTGTA_L001.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6743	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6743/HS003-PE-R00146_BC4HP2ACXX.SampID_6743_ATCACG_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6321	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6321/HS002-PE-R00106_AC2HFFACXX.SampID_6321_TAGCTT_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_10894	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10894/HS002-PE-R00157_AC655TACXX.SampID_10894_CAGATC_L001.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6740	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6740/HS003-PE-R00146_BC4HP2ACXX.SampID_6740_ATCACG_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6744	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6744/HS003-PE-R00146_BC4HP2ACXX.SampID_6744_ACTTGA_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6738	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6738/HS003-PE-R00146_BC4HP2ACXX.SampID_6738_ACTTGA_L002.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_13727	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13727/HS003-PE-R00203_AC7272ACXX.SampID_13727_TGACCA_L008.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6737	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6737/HS003-PE-R00146_BC4HP2ACXX.SampID_6737_ATCACG_L002.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_13726	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13726/HS003-PE-R00203_AC7272ACXX.SampID_13726_CGATGT_L008.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_11677	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11677/HS003-PE-R00196_BC6MM4ACXX.SampID_11677_ATGTCA_L007.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6320	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6320/HS002-PE-R00106_AC2HFFACXX.SampID_6320_ACTTGA_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_13728	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13728/HS003-PE-R00203_AC7272ACXX.SampID_13728_GCCAAT_L008.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_6319	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6319/HS002-PE-R00106_AC2HFFACXX.SampID_6319_ATCACG_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
FastQC	all_sections	SampID_10893	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10893/HS002-PE-R00157_AC655TACXX.SampID_10893_GCCAAT_L001.deduplicated.rg.realigned.recalibrated_fastqc.zip																					
Bamtools	stats	SampID_11678	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11678/SampID_11678.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6738	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6738/SampID_6738.bamtools_stats_data.txt																					
Bamtools	stats	SampID_11677	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11677/SampID_11677.bamtools_stats_data.txt																					
Bamtools	stats	SampID_13726	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13726/SampID_13726.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6321	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6321/SampID_6321.bamtools_stats_data.txt																					
Bamtools	stats	SampID_11676	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11676/SampID_11676.bamtools_stats_data.txt																					
Bamtools	stats	SampID_13727	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13727/SampID_13727.bamtools_stats_data.txt																					
Bamtools	stats	SampID_10893	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10893/SampID_10893.bamtools_stats_data.txt																					
Bamtools	stats	SampID_13728	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13728/SampID_13728.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6320	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6320/SampID_6320.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6743	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6743/SampID_6743.bamtools_stats_data.txt																					
Bamtools	stats	SampID_10895	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10895/SampID_10895.bamtools_stats_data.txt																					
Bamtools	stats	SampID_10894	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10894/SampID_10894.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6741	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6741/SampID_6741.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6740	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6740/SampID_6740.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6319	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6319/SampID_6319.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6744	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6744/SampID_6744.bamtools_stats_data.txt																					
Bamtools	stats	SampID_6737	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6737/SampID_6737.bamtools_stats_data.txt																					
Samtools	flagstat	SampID_11678	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11678/SampID_11678.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6738	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6738/SampID_6738.samtools_flagstat.txt																					
Samtools	flagstat	SampID_11677	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11677/SampID_11677.samtools_flagstat.txt																					
Samtools	flagstat	SampID_13726	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13726/SampID_13726.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6321	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6321/SampID_6321.samtools_flagstat.txt																					
Samtools	flagstat	SampID_11676	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11676/SampID_11676.samtools_flagstat.txt																					
Samtools	flagstat	SampID_13727	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13727/SampID_13727.samtools_flagstat.txt																					
Samtools	flagstat	SampID_10893	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10893/SampID_10893.samtools_flagstat.txt																					
Samtools	flagstat	SampID_13728	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13728/SampID_13728.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6320	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6320/SampID_6320.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6743	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6743/SampID_6743.samtools_flagstat.txt																					
Samtools	flagstat	SampID_10895	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10895/SampID_10895.samtools_flagstat.txt																					
Samtools	flagstat	SampID_10894	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10894/SampID_10894.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6741	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6741/SampID_6741.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6740	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6740/SampID_6740.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6319	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6319/SampID_6319.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6744	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6744/SampID_6744.samtools_flagstat.txt																					
Samtools	flagstat	SampID_6737	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6737/SampID_6737.samtools_flagstat.txt																					
Samtools	idxstats	SampID_11678	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11678/SampID_11678.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6738	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6738/SampID_6738.samtools_idxstats.txt																					
Samtools	idxstats	SampID_11677	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11677/SampID_11677.samtools_idxstats.txt																					
Samtools	idxstats	SampID_13726	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13726/SampID_13726.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6321	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6321/SampID_6321.samtools_idxstats.txt																					
Samtools	idxstats	SampID_11676	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11676/SampID_11676.samtools_idxstats.txt																					
Samtools	idxstats	SampID_13727	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13727/SampID_13727.samtools_idxstats.txt																					
Samtools	idxstats	SampID_10893	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10893/SampID_10893.samtools_idxstats.txt																					
Samtools	idxstats	SampID_13728	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13728/SampID_13728.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6320	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6320/SampID_6320.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6743	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6743/SampID_6743.samtools_idxstats.txt																					
Samtools	idxstats	SampID_10895	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10895/SampID_10895.samtools_idxstats.txt																					
Samtools	idxstats	SampID_10894	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10894/SampID_10894.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6741	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6741/SampID_6741.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6740	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6740/SampID_6740.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6319	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6319/SampID_6319.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6744	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6744/SampID_6744.samtools_idxstats.txt																					
Samtools	idxstats	SampID_6737	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6737/SampID_6737.samtools_idxstats.txt																					
QualiMap	mapped_gc_distribution	SampID_11678	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11678/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_6738	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6738/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_11677	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11677/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_13726	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13726/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_6321	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_6321/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_11676	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_11676/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_13727	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13727/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_10893	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_10893/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
QualiMap	mapped_gc_distribution	SampID_13728	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2016_Data/SampID_13728/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt																					
