Sample,Run,Date
SampID_6737,Run-1,04/11/2016
SampID_6738,Run-1,04/11/2016
SampID_6740,Run-1,04/11/2016
SampID_6741,Run-2,11/11/2016
SampID_6743,Run-2,11/11/2016
SampID_6744,Run-2,11/11/2016
SampID_6319,Run-3,18/11/2016
SampID_6320,Run-3,18/11/2016
SampID_6321,Run-3,18/11/2016
SampID_11676,Run-4,25/11/2016
SampID_11677,Run-4,25/11/2016
SampID_11678,Run-4,25/11/2016
SampID_13726,Run-5,01/12/2016
SampID_13727,Run-5,01/12/2016
SampID_13728,Run-5,01/12/2016
SampID_10893,Run-6,08/12/2016
SampID_10894,Run-6,08/12/2016
SampID_10895,Run-6,08/12/2016
