Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	kmer_content	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
CHH26776	pass	0.0	fail	99.9399423766	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	warn	140460936.0	pass	pass	pass	44.0	44.6574530516	CHH26776.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH26777	pass	0.0	fail	99.9393949746	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	warn	115626814.0	pass	pass	pass	44.0	44.414428292	CHH26777.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH26778	pass	0.0	fail	99.9381660966	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	warn	120591093.0	pass	pass	pass	44.0	46.396679058	CHH26778.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH26782	pass	0.0	fail	99.9372843104	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	warn	178251504.0	pass	pass	pass	44.0	45.7695811727	CHH26782.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH26783	pass	0.0	fail	99.9381236221	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	warn	149991585.0	pass	pass	pass	44.0	47.0662549873	CHH26783.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH26784	pass	0.0	fail	99.9343035963	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	fail	233276209.0	pass	pass	pass	44.0	45.6591455963	CHH26784.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH6312	pass	0.0	fail	99.9566011432	Sanger / Illumina 1.9	fail	pass	warn	30-100	Conventional base calls	pass	pass	77461211.0	pass	pass	pass	50.0	44.4054957646	HS002-PE-R00106_AC2HFFACXX.CHH6312_ATCACG_L004.deduplicated.rg.realigned.recalibrated.bam	warn	pass
CHH6316	pass	0.0	fail	99.9529022548	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	pass	77053710.0	pass	pass	pass	50.0	47.5571538865	HS002-PE-R00106_AC2HFFACXX.CHH6316_ACTTGA_L004.deduplicated.rg.realigned.recalibrated.bam	warn	pass
CHH6317	pass	0.0	fail	99.9596123374	Sanger / Illumina 1.9	fail	pass	warn	30-100	Conventional base calls	pass	pass	93276257.0	pass	pass	pass	49.0	46.0729151991	HS002-PE-R00106_AC2HFFACXX.CHH6317_TAGCTT_L004.deduplicated.rg.realigned.recalibrated.bam	warn	pass
CHH6536	pass	0.0	fail	99.970283706	Sanger / Illumina 1.9	pass	warn	warn	30-100	Conventional base calls	pass	warn	116594687.0	pass	pass	pass	49.0	47.9780906629	HS002-PE-R00110_BC3YR1ACXX.CHH6536_ATCACG_L005.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH6537	pass	0.0	fail	99.9688710114	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	warn	115837750.0	pass	pass	pass	49.0	48.3053239695	HS002-PE-R00110_BC3YR1ACXX.CHH6537_ACTTGA_L005.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH6538	pass	0.0	fail	99.9702968285	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	warn	126625199.0	pass	pass	pass	49.0	46.2506438862	HS002-PE-R00110_BC3YR1ACXX.CHH6538_TAGCTT_L005.deduplicated.rg.realigned.recalibrated.bam	pass	pass
CHH10896	pass	0.0	fail	99.9553489466	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	fail	142147419.0	pass	pass	pass	43.0	46.8597641604	HS002-PE-R00157_AC655TACXX.CHH10896_AGTCAA_L002.deduplicated.rg.realigned.recalibrated.bam	warn	pass
CHH10897	pass	0.0	fail	99.9578597415	Sanger / Illumina 1.9	pass	pass	warn	30-100	Conventional base calls	pass	fail	119708995.0	pass	warn	pass	43.0	46.0015363358	HS002-PE-R00157_AC655TACXX.CHH10897_AGTTCC_L002.deduplicated.rg.realigned.recalibrated.bam	warn	pass
