Sample	QualiMap_avg_gc	QualiMap_median_insert_size	Bcftools Stats_tstv	Bamtools_mapped_reads_pct	Bamtools_duplicates_pct	QualiMap_5_x_pc	QualiMap_30_x_pc	QualiMap_10_x_pc	Samtools Flagstat_mapped_passed	Bcftools Stats_number_of_SNPs	Bcftools Stats_number_of_MNPs	QualiMap_median_coverage	QualiMap_1_x_pc	Bcftools Stats_number_of_records	Bcftools Stats_number_of_indels	QualiMap_50_x_pc	QualiMap_total_reads	FastQC_total_sequences	FastQC_percent_duplicates	QualiMap_percentage_aligned	FastQC_percent_gc	QualiMap_mapped_reads	FastQC_avg_sequence_length	FastQC_percent_fails
SampID_26782	47.3193091561	223	1.82	99.5168	0.0	96.9964328971	93.2041287873	96.2604085557	177390194	2440.0	917.0	120	98.7075323148	3561.0	159.0	89.022273512	178251504.0	178251504.0	54.2304188273	99.516800711	44.0	177390194.0	99.9372843104	8.33333333333
SampID_26783	47.2870105955	266	1.82	99.5652	0.0	96.8907471695	92.4945192576	96.0460469528	149339357	2440.0	917.0	95	98.4965183535	3561.0	159.0	85.657558338	149991585.0	149991585.0	52.9337450127	99.5651569386	44.0	149339357.0	99.9381236221	8.33333333333
SampID_26784	47.3577940538	268	1.82	99.5452	0.0	97.4424371713	94.6197089141	96.8590427753	232215183	2440.0	917.0	142	99.11230565	3561.0	159.0	91.9275077824	233276209.0	233276209.0	54.3408544037	99.5451632189	44.0	232215183.0	99.9343035963	16.6666666667
SampID_26776	47.4935818493	217	1.88	99.4099	0.0	96.6426222736	92.0384279237	95.7796810516	139632076	2239.0	931.0	101	98.2118982065	3361.0	148.0	85.688049019	140460936.0	140460936.0	55.3425469484	99.4098999881	44.0	139632076.0	99.9399423766	8.33333333333
SampID_26777	47.4512646168	218	1.88	99.264	0.0	96.468922268	90.350945157	95.389136848	114775792	2239.0	931.0	83	98.080545756	3361.0	148.0	79.8357757839	115626814.0	115626814.0	55.585571708	99.2639925199	44.0	114775792.0	99.9393949746	8.33333333333
SampID_26778	47.236361024	220	1.88	99.5071	0.0	96.8356622466	90.7101137724	95.7610869662	119996663	2239.0	931.0	86	98.3238268331	3361.0	148.0	80.5749469525	120591093.0	120591093.0	53.603320942	99.5070697303	44.0	119996663.0	99.9381660966	8.33333333333
SampID_10896	45.5604048261	215	1.85	99.8399	0.0	96.242703791	89.5745681636	94.9868505214	141919851	1958.0	864.0	92	98.2891808396	2995.0	132.0	79.5387603156	142147419.0	142147419.0	53.1402358396	99.8399070475	43.0	141919851.0	99.9553489466	16.6666666667
SampID_10897	45.4862454532	218	1.85	99.8173	0.0	95.9885147428	87.2786642359	94.5409036227	119490341	1958.0	864.0	78	98.0298412342	2995.0	132.0	73.5507608492	119708995.0	119708995.0	53.9984636642	99.8173453883	43.0	119490341.0	99.9578597415	16.6666666667
SampID_10898	45.3740316378	218	1.85	99.7912	0.0	96.0707802201	85.0728001697	94.4601365295	108080776	1958.0	864.0	69	98.1635350477	2995.0	132.0	68.0521062502	108306948.0	108306948.0	50.5763646683	99.7911749854	43.0	108080776.0	99.9576605741	16.6666666667
SampID_10900	45.6965238966	222		99.7139	0.0	96.1692498712	88.5270917877	94.8399956439	126608578			83	98.1681780522			76.2610772013	126971858.0	126971858.0	50.9030472982	99.7138893565	43.0	126608578.0	99.9579969287	16.6666666667
