Sample	mapped_passed	duplicates_failed	with mate mapped to a different chr (mapQ >= 5)_passed	duplicates_passed	read2_passed	read1_failed	read1_passed	with mate mapped to a different chr_passed	total_failed	properly paired_passed_pct	singletons_passed	total_passed	singletons_passed_pct	mapped_failed_pct	mapped_passed_pct	with itself and mate mapped_failed	mapped_failed	paired in sequencing_failed	properly paired_failed	flagstat_total	properly paired_failed_pct	with mate mapped to a different chr (mapQ >= 5)_failed	with itself and mate mapped_passed	read2_failed	with mate mapped to a different chr_failed	properly paired_passed	paired in sequencing_passed	singletons_failed	singletons_failed_pct
CHH10896	141919851	0	229809	0	71136388	0	71011031	447790	0	98.99	102478	142147419	0.07	nan	99.84	0	0	0	0	142147419	nan	0	141817373	0	0	140707536	142147419	0	nan
CHH10897	119490341	0	187462	0	59911082	0	59797913	371533	0	98.98	104382	119708995	0.09	nan	99.82	0	0	0	0	119708995	nan	0	119385959	0	0	118489907	119708995	0	nan
CHH10898	108080776	0	182035	0	54209062	0	54097886	352933	0	98.94	114744	108306948	0.11	nan	99.79	0	0	0	0	108306948	nan	0	107966032	0	0	107163972	108306948	0	nan
CHH10900	126608578	0	244430	0	63581021	0	63390837	455572	0	98.82	174251	126971858	0.14	nan	99.71	0	0	0	0	126971858	nan	0	126434327	0	0	125477666	126971858	0	nan
CHH10901	120419071	0	206170	0	60436254	0	60282569	398864	0	98.9	143366	120718823	0.12	nan	99.75	0	0	0	0	120718823	nan	0	120275705	0	0	119388941	120718823	0	nan
CHH10902	112822204	0	217156	0	56644075	0	56493736	404636	0	98.8	156274	113137811	0.14	nan	99.72	0	0	0	0	113137811	nan	0	112665930	0	0	111785171	113137811	0	nan
CHH10903	135103267	0	261311	0	67846520	0	67647237	480769	0	98.89	179282	135493757	0.13	nan	99.71	0	0	0	0	135493757	nan	0	134923985	0	0	133988977	135493757	0	nan
CHH10904	113743370	0	233563	0	57141200	0	56966116	425163	0	98.75	178627	114107316	0.16	nan	99.68	0	0	0	0	114107316	nan	0	113564743	0	0	112676065	114107316	0	nan
CHH11657	109111970	0	325617	0	54812954	0	54577274	624824	0	98.49	136979	109390228	0.13	nan	99.75	0	0	0	0	109390228	nan	0	108974991	0	0	107739391	109390228	0	nan
CHH11686	145627439	0	203712	0	73019837	0	72866274	413829	0	99.13	112483	145886111	0.08	nan	99.82	0	0	0	0	145886111	nan	0	145514956	0	0	144617225	145886111	0	nan
CHH11687	127961580	0	200816	0	64176843	0	64033962	389778	0	99.07	116439	128210805	0.09	nan	99.81	0	0	0	0	128210805	nan	0	127845141	0	0	127019553	128210805	0	nan
CHH26776	139632076	0	326621	0	70455992	0	70004944	601073	0	98.18	356229	140460936	0.25	nan	99.41	0	0	0	0	140460936	nan	0	139275847	0	0	137898100	140460936	0	nan
CHH26777	114775792	0	288648	0	58025210	0	57601604	521677	0	97.87	409979	115626814	0.35	nan	99.26	0	0	0	0	115626814	nan	0	114365813	0	0	113167094	115626814	0	nan
CHH26778	119996663	0	251492	0	60444504	0	60146589	482986	0	98.34	275934	120591093	0.23	nan	99.51	0	0	0	0	120591093	nan	0	119720729	0	0	118589107	120591093	0	nan
CHH26782	177390194	0	434121	0	89357046	0	88894458	805967	0	98.39	356504	178251504	0.2	nan	99.52	0	0	0	0	178251504	nan	0	177033690	0	0	175383046	178251504	0	nan
CHH26783	149339357	0	373448	0	75154531	0	74837054	665238	0	98.66	302852	149991585	0.2	nan	99.57	0	0	0	0	149991585	nan	0	149036505	0	0	147983080	149991585	0	nan
CHH26784	232215183	0	781608	0	116925045	0	116351164	1303719	0	98.65	405080	233276209	0.17	nan	99.55	0	0	0	0	233276209	nan	0	231810103	0	0	230137078	233276209	0	nan
CHH6312	77215861	0	118035	0	38771031	0	38690180	260313	0	98.42	96309	77461211	0.12	nan	99.68	0	0	0	0	77461211	nan	0	77119552	0	0	76236808	77461211	0	nan
CHH6316	76779066	0	151807	0	38582476	0	38471234	301912	0	98.42	137676	77053710	0.18	nan	99.64	0	0	0	0	77053710	nan	0	76641390	0	0	75835295	77053710	0	nan
CHH6317	92903661	0	163194	0	46718145	0	46558112	331772	0	98.61	182422	93276257	0.2	nan	99.6	0	0	0	0	93276257	nan	0	92721239	0	0	91983806	93276257	0	nan
CHH6536	115923448	0	281740	0	58477069	0	58117618	486363	0	98.33	303301	116594687	0.26	nan	99.42	0	0	0	0	116594687	nan	0	115620147	0	0	114646092	116594687	0	nan
CHH6537	115294555	0	262826	0	58064717	0	57773033	440447	0	98.51	244738	115837750	0.21	nan	99.53	0	0	0	0	115837750	nan	0	115049817	0	0	114109785	115837750	0	nan
CHH6538	126048791	0	282919	0	63470614	0	63154585	483350	0	98.52	251502	126625199	0.2	nan	99.54	0	0	0	0	126625199	nan	0	125797289	0	0	124749126	126625199	0	nan
CHH6739	115496053	0	631329	0	58890173	0	58388776	1262251	0	96.05	985830	117278949	0.84	nan	98.48	0	0	0	0	117278949	nan	0	114510223	0	0	112645068	117278949	0	nan
CHH6742	107431405	0	383107	0	54691732	0	54036381	703078	0	97.23	650117	108728113	0.6	nan	98.81	0	0	0	0	108728113	nan	0	106781288	0	0	105720750	108728113	0	nan
CHH6745	156929475	0	428323	0	79407122	0	78729225	756996	0	97.91	481236	158136347	0.3	nan	99.24	0	0	0	0	158136347	nan	0	156448239	0	0	154828924	158136347	0	nan
