Module	Section	Sample Name	Source
FastQC	all_sections	CHH7201	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7201/HS003-PE-R00150_BC4HRNACXX.CHH7201_ACTTGA_L006.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7196	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7196/HS003-PE-R00150_BC4HRNACXX.CHH7196_TAGCTT_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH11687	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH11687/HS002-PE-R00174_BC6N3UACXX.CHH11687_GTGAAA_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7186	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7186/HS003-PE-R00150_BC4HRNACXX.CHH7186_ACTTGA_L001.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10904	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10904/HS002-PE-R00157_AC655TACXX.CHH10904_ACAGTG_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6316	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6316/HS002-PE-R00106_AC2HFFACXX.CHH6316_ACTTGA_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6536	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6536/HS002-PE-R00110_BC3YR1ACXX.CHH6536_ATCACG_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7170	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7170/HS003-PE-R00149_AC4DMMACXX.CHH7170_ATCACG_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH26777	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH26777/CHH26777.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH26776	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH26776/CHH26776.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7197	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7197/HS003-PE-R00150_BC4HRNACXX.CHH7197_ATCACG_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7184	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7184/HS003-PE-R00149_AC4DMMACXX.CHH7184_TAGCTT_L008.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH26778	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH26778/CHH26778.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7185	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7185/HS003-PE-R00150_BC4HRNACXX.CHH7185_ATCACG_L001.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7174	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7174/HS003-PE-R00149_AC4DMMACXX.CHH7174_ACTTGA_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10897	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10897/HS002-PE-R00157_AC655TACXX.CHH10897_AGTTCC_L002.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10902	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10902/HS002-PE-R00157_AC655TACXX.CHH10902_CGATGT_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6312	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6312/HS002-PE-R00106_AC2HFFACXX.CHH6312_ATCACG_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10903	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10903/HS002-PE-R00157_AC655TACXX.CHH10903_TGACCA_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10900	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10900/HS002-PE-R00157_AC655TACXX.CHH10900_GTCCGC_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6745	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6745/HS003-PE-R00146_BC4HP2ACXX.CHH6745_TAGCTT_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10896	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10896/HS002-PE-R00157_AC655TACXX.CHH10896_AGTCAA_L002.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7194	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7194/HS003-PE-R00150_BC4HRNACXX.CHH7194_ATCACG_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7176	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7176/HS003-PE-R00149_AC4DMMACXX.CHH7176_ATCACG_L006.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7171	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7171/HS003-PE-R00149_AC4DMMACXX.CHH7171_ACTTGA_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7177	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7177/HS003-PE-R00149_AC4DMMACXX.CHH7177_ACTTGA_L006.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7198	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7198/HS003-PE-R00150_BC4HRNACXX.CHH7198_ACTTGA_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10901	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10901/HS002-PE-R00157_AC655TACXX.CHH10901_GTGAAA_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7182	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7182/HS003-PE-R00149_AC4DMMACXX.CHH7182_ATCACG_L008.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7202	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7202/HS003-PE-R00150_BC4HRNACXX.CHH7202_TAGCTT_L006.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7180	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7180/HS003-PE-R00149_AC4DMMACXX.CHH7180_ACTTGA_L007.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6537	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6537/HS002-PE-R00110_BC3YR1ACXX.CHH6537_ACTTGA_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7191	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7191/HS003-PE-R00150_BC4HRNACXX.CHH7191_ATCACG_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7188	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7188/HS003-PE-R00150_BC4HRNACXX.CHH7188_ATCACG_L002.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH26782	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH26782/CHH26782.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH26783	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH26783/CHH26783.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH10898	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH10898/HS002-PE-R00157_AC655TACXX.CHH10898_ATGTCA_L002.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH26784	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH26784/CHH26784.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7193	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7193/HS003-PE-R00150_BC4HRNACXX.CHH7193_TAGCTT_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7199	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7199/HS003-PE-R00150_BC4HRNACXX.CHH7199_TAGCTT_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH11657	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH11657/HS003-PE-R00194_BC6LTCACXX.CHH11657_GCCAAT_L007.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6742	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6742/HS003-PE-R00146_BC4HP2ACXX.CHH6742_TAGCTT_L003.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7187	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7187/HS003-PE-R00150_BC4HRNACXX.CHH7187_TAGCTT_L001.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6538	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6538/HS002-PE-R00110_BC3YR1ACXX.CHH6538_TAGCTT_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6317	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6317/HS002-PE-R00106_AC2HFFACXX.CHH6317_TAGCTT_L004.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7173	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7173/HS003-PE-R00149_AC4DMMACXX.CHH7173_ATCACG_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH6739	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6739/HS003-PE-R00146_BC4HP2ACXX.CHH6739_TAGCTT_L002.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH7179	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH7179/HS003-PE-R00149_AC4DMMACXX.CHH7179_ATCACG_L007.deduplicated.rg.realigned.recalibrated_fastqc.zip
FastQC	all_sections	CHH11686	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH11686/HS002-PE-R00174_BC6N3UACXX.CHH11686_AGTTCC_L005.deduplicated.rg.realigned.recalibrated_fastqc.zip
Bamtools	stats	CHH6538	/mnt/seq/polarisbioit/PolarisPool/SUREkids_data/MultiQC_Results/2017_Data/CHH6538/CHH6538.bamtools_stats_data.txt
